category,author,url,title,author_latin,keywords,title_latin,date,filename
,,http://uyguravazi.kazgazeta.kz/?p=32,1,,,1,8 yanvarya 2020,32.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=34,Jiraqtiki istiqbal — bügünki ämäliyat,Boyiche admin -,,Zhiraqtiki istiqbal — bügünki emeliyat,9 yanvarya 2012,34.txt
,,http://uyguravazi.kazgazeta.kz/?p=35,şuhrat nurahunov,,,shuhrat nurahunow,8 yanvarya 2020,35.txt
,,http://uyguravazi.kazgazeta.kz/?p=39,tilak s apa,,,tilak s apa,8 yanvarya 2020,39.txt
,,http://uyguravazi.kazgazeta.kz/?p=40,tilak,,,tilak,8 yanvarya 2020,40.txt
,,http://uyguravazi.kazgazeta.kz/?p=41,tilak,,,tilak,8 yanvarya 2020,41.txt
,,http://uyguravazi.kazgazeta.kz/?p=42,tilak na tribunı,,,tilak na tribuni,8 yanvarya 2020,42.txt
,,http://uyguravazi.kazgazeta.kz/?p=43,tilak na tribunı,,,tilak na tribuni,8 yanvarya 2020,43.txt
,,http://uyguravazi.kazgazeta.kz/?p=45,tilak na tribunı,,,tilak na tribuni,8 yanvarya 2020,45.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=51,Yeŋi jilliq gülhan,Boyiche admin -,,Yéngi zhilliq gülhan,9 yanvarya 2012,51.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=54,Dilşat NASİROV: «Zamanğa beqişni bilişimiz keräk»,Boyiche admin -,,Dilshat NASIROW: «Zamangha béqishni bilishimiz kérek»,9 yanvarya 2012,54.txt
,,http://uyguravazi.kazgazeta.kz/?p=55,Dil'şat,,,Dilshat,8 yanvarya 2020,55.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=58,Mirzähmät HOŞUROV: «Sän°ät — hayatimniŋ mäzmuni»,Boyiche admin -,,Mirzehmet HOShUROW: «Sen'et — hayatimning mezmuni»,9 yanvarya 2012,58.txt
,,http://uyguravazi.kazgazeta.kz/?p=59,Uşurov M,,,Ushurow M,8 yanvarya 2020,59.txt
,,http://uyguravazi.kazgazeta.kz/?p=60,Uşurov M,,,Ushurow M,8 yanvarya 2020,60.txt
,,http://uyguravazi.kazgazeta.kz/?p=61,foto 897,,,foto 897,8 yanvarya 2020,61.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=63,Hayat ilgärki qiniğa çüşivatidu,Boyiche admin -,,Hayat ilgerki qinigha chüshiwatidu,9 yanvarya 2012,63.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=65,Qazaqstan Җumhuriyiti Märkiziy saylam komissiyasiniŋ häviri,Boyiche admin -,,Qazaqstan Jumhuriyiti Merkiziy saylam komissiyasining hewiri,9 yanvarya 2012,65.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=67,Yeŋi jilda teçliq vä hatirҗämlik hšküm sürsun!,Boyiche admin -,,Yéngi zhilda téchliq we hatirjemlik höküm sürsun!,9 yanvarya 2012,67.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=69,Ähbarat vasitiliridin ohşaş paydilinidu,Boyiche admin -,,Ehbarat wasitiliridin ohshash paydilinidu,9 yanvarya 2012,69.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=73,"Tallaveliş — sizdin, orunlaş — bizdin!",Boyiche admin -,,"Tallawélish — sizdin, orunlash — bizdin!",9 yanvarya 2012,73.txt
,,http://uyguravazi.kazgazeta.kz/?p=74,almatı akşamı,,,almati akshami,8 yanvarya 2020,74.txt
,,http://uyguravazi.kazgazeta.kz/?p=75,almatı akşamı,,,almati akshami,8 yanvarya 2020,75.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=82,Yeŋi jil harpisidiki oy,Boyiche admin -,,Yéngi zhil harpisidiki oy,9 yanvarya 2012,82.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=84,Dšlät rähbiri Nursultan Nazarbaevniŋ Yeŋi jilliq täbrigi,Boyiche admin -,,Dölet rehbiri Nursultan Nazarbaéwning Yéngi zhilliq tebrigi,9 yanvarya 2012,84.txt
,,http://uyguravazi.kazgazeta.kz/?p=89,030-+12-1,,,030-+12-1,8 yanvarya 2020,89.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=91,"№1 (7547), 6-yanvar', җümä, 2012-jil",Boyiche admin -,,"№1 (7547), 6-yanwar, jüme, 2012-zhil",9 yanvarya 2012,91.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=96,TAMAŞİBİNLAR DİQQİTİGÄ,Boyiche admin -,,TAMAShIBINLAR DIQQITIGE,16 yanvarya 2012,96.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=102,Tarihimizğa ait yänä bir kitap yoruq kšrdi,Boyiche admin -,,Tarihimizgha ait yene bir kitap yoruq kördi,16 yanvarya 2012,102.txt
,,http://uyguravazi.kazgazeta.kz/?p=103,kniga kasimi,,,kniga kasimi,8 yanvarya 2020,103.txt
,,http://uyguravazi.kazgazeta.kz/?p=104,kniga kasimi,,,kniga kasimi,8 yanvarya 2020,104.txt
,,http://uyguravazi.kazgazeta.kz/?p=105,kniga kasimi,,,kniga kasimi,8 yanvarya 2020,105.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=107,Uyğur tili kabineti märipätçiniŋ ismi bilän ataldi,Boyiche admin -,,Uyghur tili kabinéti meripetchining ismi bilen ataldi,16 yanvarya 2012,107.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=110,Mäŋgü untimaymän,Boyiche admin -,,Menggü untimaymen,16 yanvarya 2012,110.txt
,,http://uyguravazi.kazgazeta.kz/?p=111,PICT2085,,,PICT2085,8 yanvarya 2020,111.txt
,,http://uyguravazi.kazgazeta.kz/?p=112,PICT2085,,,PICT2085,8 yanvarya 2020,112.txt
,,http://uyguravazi.kazgazeta.kz/?p=113,PICT3275,,,PICT3275,8 yanvarya 2020,113.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=116,Turnir ğalibi — baharliq voleybolçilar,Boyiche admin -,,Turnir ghalibi — baharliq woléybolchilar,16 yanvarya 2012,116.txt
,,http://uyguravazi.kazgazeta.kz/?p=117,IMG_0218,,,IMG_0218,8 yanvarya 2020,117.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=120,Җan beqiş mänbäsi yaki Şähsiy maşinisi bilän  kira qilğuçiniŋ «iş-täҗribisidin»,Boyiche admin -,,Jan béqish menbesi yaki Shehsiy mashinisi bilen  kira qilghuchining «ish-tejribisidin»,16 yanvarya 2012,120.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=122,Sabiq ittipaqdaş җumhuriyätlär hazir qandaq yaşavatidu?,Boyiche admin -,,Sabiq ittipaqdash jumhuriyetler hazir qandaq yashawatidu?,16 yanvarya 2012,122.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=126,Qedimiy qorğanlar vä qiyataşlar šlkisidä,Boyiche admin -,,Qédimiy qorghanlar we qiyatashlar ölkiside,16 yanvarya 2012,126.txt
,,http://uyguravazi.kazgazeta.kz/?p=127,shaman,,,shaman,8 yanvarya 2020,127.txt
,,http://uyguravazi.kazgazeta.kz/?p=128,Ablet_Abakan-Conference,,,Ablét_Abakan-Conféréncé,8 yanvarya 2020,128.txt
,,http://uyguravazi.kazgazeta.kz/?p=129,Rekonstruktsiya izobrajeniya na kamne,,,Rékonstruktsiya izobrazhéniya na kamné,8 yanvarya 2020,129.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=133,Kšŋli yerim gšdäklärniŋ kšŋlini aldi,Boyiche admin -,,Köngli yérim gödeklerning könglini aldi,16 yanvarya 2012,133.txt
,,http://uyguravazi.kazgazeta.kz/?p=134,DSCF8749,,,DSCF8749,8 yanvarya 2020,134.txt
,,http://uyguravazi.kazgazeta.kz/?p=135,Yarkant gim,,,Yarkant gim,8 yanvarya 2020,135.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=138,Hayatqa muhäbbät,Boyiche admin -,,Hayatqa muhebbet,16 yanvarya 2012,138.txt
,,http://uyguravazi.kazgazeta.kz/?p=139,3,,,3,8 yanvarya 2020,139.txt
,,http://uyguravazi.kazgazeta.kz/?p=140,3,,,3,8 yanvarya 2020,140.txt
,,http://uyguravazi.kazgazeta.kz/?p=141,3,,,3,8 yanvarya 2020,141.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=144,"Hosul mol elindi, biraq…",Boyiche admin -,,"Hosul mol élindi, biraq…",16 yanvarya 2012,144.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=147,Yaş ävlat tärbiyisi işäşlik qolda,Boyiche admin -,,Yash ewlat terbiyisi isheshlik qolda,16 yanvarya 2012,147.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=149,"Pul ämäs, hesap tapqan «Saadät»",Boyiche admin -,,"Pul emes, hésap tapqan «Saadet»",16 yanvarya 2012,149.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=152,Sahağa dšlät täripidin alahidä diqqät bšlünüvatidu,Boyiche admin -,,Sahagha dölet teripidin alahide diqqet bölünüwatidu,16 yanvarya 2012,152.txt
,,http://uyguravazi.kazgazeta.kz/?p=153,SONY DSC,,,SONY DSC,8 yanvarya 2020,153.txt
,,http://uyguravazi.kazgazeta.kz/?p=154,SONY DSC,,,SONY DSC,8 yanvarya 2020,154.txt
,,http://uyguravazi.kazgazeta.kz/?p=155,SONY DSC,,,SONY DSC,8 yanvarya 2020,155.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=157,Uluqluğini mehir-şäpqiti toluqturup turatti,Boyiche admin -,,Uluqlughini méhir-shepqiti toluqturup turatti,16 yanvarya 2012,157.txt
,,http://uyguravazi.kazgazeta.kz/?p=158,konaev,,,konaéw,8 yanvarya 2020,158.txt
,,http://uyguravazi.kazgazeta.kz/?p=159,Konaev obö,,,Konaéw obö,8 yanvarya 2020,159.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=161,Dostluğimiz yaraşqan,Boyiche admin -,,Dostlughimiz yarashqan,16 yanvarya 2012,161.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=164,Başlanğan iş davamlaşturulidu,Boyiche admin -,,Bashlanghan ish dawamlashturulidu,16 yanvarya 2012,164.txt
,,http://uyguravazi.kazgazeta.kz/?p=165,DSC_0034,,,DSC_0034,8 yanvarya 2020,165.txt
,,http://uyguravazi.kazgazeta.kz/?p=166,DSC_0034,,,DSC_0034,8 yanvarya 2020,166.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=168,Komissiya işini ayaqlaşturdi,Boyiche admin -,,Komissiya ishini ayaqlashturdi,16 yanvarya 2012,168.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=170,D.A. Qonaevniŋ  100 jilliğiğa beğişlanğan hatirä täŋgilär çiqirildi,Boyiche admin -,,D.A. Qonaéwning  100 zhillighigha béghishlanghan hatire tenggiler chiqirildi,16 yanvarya 2012,170.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=172,Prezident män°iy qiliş hoquqidin paydilandi,Boyiche admin -,,Prézidént men'iy qilish hoquqidin paydilandi,16 yanvarya 2012,172.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=176,Bayqiğuçilar akkreditatsiyadin štküzüldi,Boyiche admin -,,Bayqighuchilar akkréditatsiyadin ötküzüldi,16 yanvarya 2012,176.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=178,Prezident җänubiy paytähtni  ziyarät qildi,Boyiche admin -,,Prézidént jenubiy paytehtni  ziyaret qildi,16 yanvarya 2012,178.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=180,Almuta saylamğa täyyar,Boyiche admin -,,Almuta saylamgha teyyar,16 yanvarya 2012,180.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=182,Millät mänaviyatiniŋ soğulmas buliği,Boyiche admin -,,Millet menawiyatining soghulmas bulighi,16 yanvarya 2012,182.txt
,,http://uyguravazi.kazgazeta.kz/?p=183,Nazar,,,Nazar,8 yanvarya 2020,183.txt
,,http://uyguravazi.kazgazeta.kz/?p=186,DSC_0034,,,DSC_0034,8 yanvarya 2020,186.txt
,,http://uyguravazi.kazgazeta.kz/?p=189,konaev,,,konaéw,8 yanvarya 2020,189.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=191,"№2 (7548), 13-yanvar', җümä, 2012-jil",Boyiche admin -,,"№2 (7548), 13-yanwar, jüme, 2012-zhil",16 yanvarya 2012,191.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=199,Häliq Qährimaniniŋ orden-medal'liri oğrilandi,Boyiche admin -,,Heliq Qehrimanining ordén-médalliri oghrilandi,23 yanvarya 2012,199.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=201,Rohiy ozuq — här bir ailigä,Boyiche admin -,,Rohiy ozuq — her bir ailige,23 yanvarya 2012,201.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=204,Yaşlar forumi,Boyiche admin -,,Yashlar forumi,23 yanvarya 2012,204.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=206,Ozuq-tülük mähsulatliriniŋ behätärligisiz riqabätkä qabil bolalmaymiz,Boyiche admin -,,Ozuq-tülük mehsulatlirining béheterligisiz riqabetke qabil bolalmaymiz,23 yanvarya 2012,206.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=208,Pärhat YÜSÜPҖANOV: «Täğdirdaşlirimniŋ hoquqini himayä qilğum kelidu»,Boyiche admin -,,Perhat YÜSÜPJANOW: «Teghdirdashlirimning hoquqini himaye qilghum kélidu»,23 yanvarya 2012,208.txt
,,http://uyguravazi.kazgazeta.kz/?p=211,DSCF4924,,,DSCF4924,8 yanvarya 2020,211.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=213,Qerindaşniŋ oti bšläk ekän,Boyiche admin -,,Qérindashning oti bölek éken,23 yanvarya 2012,213.txt
,,http://uyguravazi.kazgazeta.kz/?p=214,yadnama,,,yadnama,8 yanvarya 2020,214.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=217,Mehmanlarğa hšrmät bildürdi,Boyiche admin -,,Méhmanlargha hörmet bildürdi,23 yanvarya 2012,217.txt
,,http://uyguravazi.kazgazeta.kz/?p=218,foto bokserov,,,foto boksérow,8 yanvarya 2020,218.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=220,Zamandaş dostumni äsligändä…,Boyiche admin -,,Zamandash dostumni esligende…,23 yanvarya 2012,220.txt
,,http://uyguravazi.kazgazeta.kz/?p=221,Aİslam,,,AIslam,8 yanvarya 2020,221.txt
,,http://uyguravazi.kazgazeta.kz/?p=222,Aİslam,,,AIslam,8 yanvarya 2020,222.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=224,Mäşräp,Boyiche admin -,,Meshrep,23 yanvarya 2012,224.txt
,,http://uyguravazi.kazgazeta.kz/?p=225,A.Jumahunov,,,A.Zhumahunow,8 yanvarya 2020,225.txt
,,http://uyguravazi.kazgazeta.kz/?p=226,A.Jumahunov,,,A.Zhumahunow,8 yanvarya 2020,226.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=230,"«Ağriqqa dava izdigiçä, ağrimaydiğan yol izdä!»",Boyiche admin -,,"«Aghriqqa dawa izdigiche, aghrimaydighan yol izde!»",23 yanvarya 2012,230.txt
,,http://uyguravazi.kazgazeta.kz/?p=231,FOTO LOGOTİP,,,FOTO LOGOTIP,8 yanvarya 2020,231.txt
,,http://uyguravazi.kazgazeta.kz/?p=232,İzobrajenie 459,,,Izobrazhénié 459,8 yanvarya 2020,232.txt
,,http://uyguravazi.kazgazeta.kz/?p=233,FOTO LOGOTİP,,,FOTO LOGOTIP,8 yanvarya 2020,233.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=235,İsmi äl qälbidä,Boyiche admin -,,Ismi el qelbide,23 yanvarya 2012,235.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=237,«Nur Otan» kšp partiyalik Parlamentta işläşkä täyyar,Boyiche admin -,,«Nur Otan» köp partiyalik Parlaméntta ishleshke teyyar,23 yanvarya 2012,237.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=239,,Boyiche admin -,,,23 yanvarya 2012,239.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=241,Saylam bayqiğuçilar näzäridä,Boyiche admin -,,Saylam bayqighuchilar nezeride,23 yanvarya 2012,241.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=243,Qazaqstan hälqi Assambleyasiniŋ Qazaqstan Җumhuriyiti Parlamenti Mäҗlisiniŋ novättin taşqiri sayliminiŋ yäküni boyiçä mämlikät grajdanliriğa muraҗiiti,Boyiche admin -,,Qazaqstan helqi Assambléyasining Qazaqstan Jumhuriyiti Parlaménti Mejlisining nowettin tashqiri saylimining yeküni boyiche memliket grazhdanlirigha murajiiti,23 yanvarya 2012,243.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=245,Bäşinçi qetim saylanğan Qazaqstan Җumhuriyiti Parlamenti Mäҗlisi deputatliri novättin taşqiri sayliminiŋ yäkünliri toğriliq hävär,Boyiche admin -,,Beshinchi qétim saylanghan Qazaqstan Jumhuriyiti Parlaménti Mejlisi députatliri nowettin tashqiri saylimining yekünliri toghriliq hewer,23 yanvarya 2012,245.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=247,Säyasiy aktivliğini kšrsätti,Boyiche admin -,,Seyasiy aktiwlighini körsetti,23 yanvarya 2012,247.txt
,,http://uyguravazi.kazgazeta.kz/?p=248,izbiratel',,,izbiratél,8 yanvarya 2020,248.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=251,«Nur Otanniŋ» ğalibiyiti —  Qazaqstan hälqiniŋ ğalibiyiti,Boyiche admin -,,«Nur Otanning» ghalibiyiti —  Qazaqstan helqining ghalibiyiti,23 yanvarya 2012,251.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=253,Assambleya deputatlarni saylidi,Boyiche admin -,,Assambléya députatlarni saylidi,23 yanvarya 2012,253.txt
,,http://uyguravazi.kazgazeta.kz/?p=254,16-01-03-jpg,,,16-01-03-zhpg,8 yanvarya 2020,254.txt
,,http://uyguravazi.kazgazeta.kz/?p=255,123451_3,,,123451_3,8 yanvarya 2020,255.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=257,Sähnidä — yaş talantlar,Boyiche admin -,,Sehnide — yash talantlar,23 yanvarya 2012,257.txt
,,http://uyguravazi.kazgazeta.kz/?p=258,kontsert,,,kontsért,8 yanvarya 2020,258.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=261,Munasiplar häliq işänçisigä egä boldi,Boyiche admin -,,Munasiplar heliq ishenchisige ége boldi,23 yanvarya 2012,261.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=263,Mandatlar tähsim qilindi,Boyiche admin -,,Mandatlar tehsim qilindi,23 yanvarya 2012,263.txt
,,http://uyguravazi.kazgazeta.kz/?p=266,1,,,1,8 yanvarya 2020,266.txt
,,http://uyguravazi.kazgazeta.kz/?p=268,1,,,1,8 yanvarya 2020,268.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=269,"№3 (7549), 20-yanvar', җümä, 2012-jil",Boyiche admin -,,"№3 (7549), 20-yanwar, jüme, 2012-zhil",23 yanvarya 2012,269.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=275,«Aqqu» turistik şirkiti hizmitiŋizgä täyyar,Boyiche admin -,,«Aqqu» turistik shirkiti hizmitingizge teyyar,30 yanvarya 2012,275.txt
,,http://uyguravazi.kazgazeta.kz/?p=279,2index,,,2indéx,8 yanvarya 2020,279.txt
,,http://uyguravazi.kazgazeta.kz/?p=280,2index,,,2indéx,8 yanvarya 2020,280.txt
,,http://uyguravazi.kazgazeta.kz/?p=281,2index,,,2indéx,8 yanvarya 2020,281.txt
,,http://uyguravazi.kazgazeta.kz/?p=282,2index,,,2indéx,8 yanvarya 2020,282.txt
,,http://uyguravazi.kazgazeta.kz/?p=290,2index,,,2indéx,8 yanvarya 2020,290.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=294,Duniya çempionati Almutida štidu,Boyiche admin -,,Duniya chémpionati Almutida ötidu,30 yanvarya 2012,294.txt
,,http://uyguravazi.kazgazeta.kz/?p=295,2index,,,2indéx,8 yanvarya 2020,295.txt
,,http://uyguravazi.kazgazeta.kz/?p=296,index.jpg5,,,indéx.zhpg5,8 yanvarya 2020,296.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=300,Moskvadin Gran-pri elip qaytti,Boyiche admin -,,Moskwadin Gran-pri élip qaytti,30 yanvarya 2012,300.txt
,,http://uyguravazi.kazgazeta.kz/?p=301,ussul,,,ussul,8 yanvarya 2020,301.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=305,Sähnidä — «Ana mirasi»,Boyiche admin -,,Sehnide — «Ana mirasi»,30 yanvarya 2012,305.txt
,,http://uyguravazi.kazgazeta.kz/?p=306,IMG_9442,,,IMG_9442,8 yanvarya 2020,306.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=309,Käsipkä sadaqätlik,Boyiche admin -,,Kesipke sadaqetlik,30 yanvarya 2012,309.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=312,Jut hizmitidä säkparä,Boyiche admin -,,Zhut hizmitide sekpare,30 yanvarya 2012,312.txt
,,http://uyguravazi.kazgazeta.kz/?p=313,Yarigor,,,Yarigor,8 yanvarya 2020,313.txt
,,http://uyguravazi.kazgazeta.kz/?p=314,Yarigor,,,Yarigor,8 yanvarya 2020,314.txt
,,http://uyguravazi.kazgazeta.kz/?p=315,Yarigor,,,Yarigor,8 yanvarya 2020,315.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=319,Balilarğa beğişlanğan qoş sähipä,Boyiche admin -,,Balilargha béghishlanghan qosh sehipe,30 yanvarya 2012,319.txt
,,http://uyguravazi.kazgazeta.kz/?p=322,balilar b,,,balilar b,8 yanvarya 2020,322.txt
,,http://uyguravazi.kazgazeta.kz/?p=323,sport,,,sport,8 yanvarya 2020,323.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=326,«Aq bota» konkursiniŋ ğalibi,Boyiche admin -,,«Aq bota» konkursining ghalibi,30 yanvarya 2012,326.txt
,,http://uyguravazi.kazgazeta.kz/?p=327,IMG_2356,,,IMG_2356,8 yanvarya 2020,327.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=330,Rohiy hayatimizniŋ šlçimi,Boyiche admin -,,Rohiy hayatimizning ölchimi,30 yanvarya 2012,330.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=334,On jilliği atap štüldi,Boyiche admin -,,On zhillighi atap ötüldi,30 yanvarya 2012,334.txt
,,http://uyguravazi.kazgazeta.kz/?p=335,DSC00158,,,DSC00158,8 yanvarya 2020,335.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=337,Hususiy sektorğa tapşuruldi,Boyiche admin -,,Hususiy séktorgha tapshuruldi,30 yanvarya 2012,337.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=339,Tärgäv davamlişivatidu,Boyiche admin -,,Tergew dawamlishiwatidu,30 yanvarya 2012,339.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=342,Turuşluq šylärgä egä boldi,Boyiche admin -,,Turushluq öylerge ége boldi,30 yanvarya 2012,342.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=345,Parlament fraktsiyaliri täşkil qilindi,Boyiche admin -,,Parlamént fraktsiyaliri teshkil qilindi,30 yanvarya 2012,345.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=348,Ötmüş jilnamisi qaçilanğan kšp tomluq näşir,Boyiche admin -,,Ötmüsh zhilnamisi qachilanghan köp tomluq neshir,30 yanvarya 2012,348.txt
,,http://uyguravazi.kazgazeta.kz/?p=349,25-01-Foto hronik (16 tomov)-2,,,25-01-Foto hronik (16 tomow)-2,8 yanvarya 2020,349.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=351,Yeŋi Hškümätniŋ däsläpki mäҗlisi,Boyiche admin -,,Yéngi Hökümetning deslepki mejlisi,30 yanvarya 2012,351.txt
,Boyiçä admin -,http://uyguravazi.kazgazeta.kz/?p=353,Demokratik šzgirişlär yolidiki yeŋi basquç,Boyiche admin -,,Démokratik özgirishler yolidiki yéngi basquch,30 yanvarya 2012,353.txt
,,http://uyguravazi.kazgazeta.kz/?p=354,03,,,03,8 yanvarya 2020,354.txt
